순위,종목코드,종목명,현재가,전일대비,,매도호가,매수호가,거래량,순매수량,취득가능수량
135,'256840,한국비엔씨,"4,720",▼,"-120","4,725","4,720","1,095,777","-236,166","66,875,285"
136,'043260,성호전자,"21,700",▼,"-1,200","21,750","21,700","3,369,897","-228,163","70,253,954"
137,'001740,SK네트웍스,"5,420",▲,"250","5,420","5,410","1,903,126","-226,081","187,679,741"
138,'246720,아스타,"7,420",▼,"-360","7,420","7,390","293,880","-223,830","15,058,256"
139,'021880,메이슨캐피탈,"268",▼,"-10","268","267","4,479,523","-223,189","208,602,620"
140,'003000,부광약품,"4,280",▲,"50","4,280","4,275","623,134","-222,601","91,841,903"
141,'329180,HD현대중공업,"545,000",▲,"6,000","545,000","544,000","348,406","-221,847","89,485,929"
142,'232680,라온로보틱스,"17,070",▼,"-750","17,070","17,060","335,735","-221,393","12,972,908"
143,'281740,레이크머티리얼즈,"23,950",▲,"200","24,000","23,950","962,139","-221,332","61,191,396"
144,'309960,LB인베스트먼트,"6,760",▲,"250","6,760","6,750","568,383","-221,227","22,400,348"
145,'080220,제주반도체,"45,750",▲,"1,150","45,750","45,700","8,219,419","-220,879","34,442,833"
146,'221800,유투바이오,"14,670",↑,"3,380","14,670","14,660","9,577,747","-220,858","15,881,743"
147,'003850,보령,"9,470",▼,"-90","9,500","9,470","1,028,339","-219,494","79,869,293"
148,'067000,조이시티,"2,845",▼,"-160","2,865","2,845","920,229","-219,431","67,773,296"
149,'172670,에이엘티,"13,020",▼,"-1,520","13,030","13,020","282,484","-219,294","8,521,749"
150,'252990,샘씨엔에스,"11,410",▼,"-160","11,420","11,410","851,821","-219,018","55,210,558"
151,'389140,포바이포,"10,030",▼,"-300","10,040","10,030","2,804,852","-218,329","14,091,182"
152,'121850,코이즈,"3,230",▼,"-195","3,250","3,230","264,928","-218,106","4,930,834"
153,'419530,SAMG엔터,"37,900",▼,"-2,700","37,900","37,850","644,641","-217,804","9,067,700"
154,'487230,KODEX 미국AI전력핵심인프라,"18,825",▼,"-620","18,825","18,820","1,302,373","-217,427","82,692,103"
155,'348950,제이알글로벌리츠,"2,125",▼,"-25","2,130","2,125","2,175,411","-211,985","174,884,543"
156,'330860,네패스아크,"20,300",▼,"-1,100","20,450","20,300","211,905","-209,327","11,769,172"
157,'300120,라온피플,"2,120",▼,"-15","2,125","2,120","188,484","-208,566","20,394,477"
158,'323410,카카오뱅크,"27,400",▼,"-1,150","27,450","27,400","3,090,027","-208,221","404,638,548"
159,'900070,글로벌에스엠,"525",▼,"-19","529","525","1,631,269","-205,882","51,921,434"
160,'383310,에코프로에이치엔,"34,600",▼,"-1,050","34,650","34,600","242,476","-202,468","19,625,090"
161,'009730,이렘,"634",▼,"-40","636","634","1,079,811","-198,540","60,802,298"
162,'229000,젠큐릭스,"1,818",▼,"-132","1,818","1,815","3,090,355","-195,094","23,246,322"
163,'065500,오리엔트정공,"2,535",▼,"-460","2,540","2,535","11,223,388","-191,761","30,080,680"
164,'060250,NHN KCP,"20,850",▼,"-200","20,900","20,850","957,867","-191,456","37,407,069"
165,'059090,미코,"16,370",▼,"-450","16,370","16,360","373,651","-191,324","27,742,365"
166,'032640,LG유플러스,"17,160",▼,"-10","17,160","17,140","1,270,967","-190,098","29,407,397"
167,'036810,에프에스티,"42,750",▼,"-550","42,800","42,750","240,393","-189,333","20,575,814"
168,'232080,TIGER 코스닥150,"19,330",▼,"-380","19,335","19,330","5,810,198","-188,722","101,687,342"
169,'160550,NEW,"2,310",▼,"-140","2,320","2,310","540,509","-187,978","25,458,621"
170,'016360,삼성증권,"102,500",▲,"5,400","102,500","102,400","2,069,230","-187,656","63,351,002"
