순위,종목코드,종목명,현재가,전일대비,,매도호가,매수호가,거래량,순매수량,취득가능수량
63,'058820,CMG제약,"2,060",▲,"10","2,060","2,055","600,735","514,468","137,944,778"
64,'096350,대창솔루션,"2,175",▼,"-50","2,195","2,175","315,228","494,390","35,405,278"
65,'009150,삼성전기,"311,500",▼,"-8,000","312,000","311,500","542,686","486,837","45,682,325"
66,'105550,엣지파운드리,"1,484",▼,"-41","1,484","1,483","552,884","485,101","75,573,259"
67,'000270,기아,"164,300",▼,"-2,000","164,300","164,200","1,195,850","479,540","233,619,527"
68,'293940,신한알파리츠,"6,030",▲,"50","6,030","6,000","346,117","473,434","106,938,834"
69,'000100,유한양행,"108,600",▼,"-800","108,700","108,600","342,197","467,561","65,300,455"
70,'001780,알루코,"2,345",▲,"30","2,345","2,340","1,243,396","451,017","94,064,603"
71,'001520,동양,"948",▼,"-1","950","948","2,427,365","446,999","226,660,162"
72,'248070,솔루엠,"17,660",▼,"-520","17,690","17,660","396,627","440,999","36,648,703"
73,'096770,SK이노베이션,"113,900",▼,"-2,400","114,000","113,900","574,653","440,777","147,545,892"
74,'093370,후성,"8,080",▼,"-200","8,090","8,080","684,324","435,881","99,104,226"
75,'001510,SK증권,"1,215",↑,"280","","1,215","298,743,866","426,236","427,307,264"
76,'192650,드림텍,"8,180",▼,"-490","8,190","8,180","819,017","424,244","28,213,547"
77,'033130,디지틀조선,"2,035",▼,"-100","2,035","2,030","527,417","423,533","17,024,801"
78,'084010,대한제강,"13,700",▲,"370","13,710","13,700","205,935","421,159","32,308,479"
79,'278470,에이피알,"273,000",▼,"-9,000","273,000","272,500","583,726","418,078","25,920,102"
80,'137940,넥스트아이,"280",▼,"-32","280","279","1,509,679","417,825","65,679,892"
81,'002790,아모레퍼시픽홀딩스,"34,500",▲,"150","34,500","34,450","255,469","416,094","69,042,654"
82,'214330,금호에이치티,"527",▼,"-29","528","527","1,430,916","413,003","213,937,651"
83,'011370,서한,"1,036",▲,"60","1,037","1,036","1,557,076","405,659","96,717,530"
84,'0015N0,아로마티카,"13,710",▼,"-1,000","13,720","13,710","4,678,955","405,344","12,007,869"
85,'005490,POSCO홀딩스,"378,500",▼,"-4,500","379,000","378,500","785,558","404,743","56,956,748"
86,'136480,하림,"3,215", ,"0","3,220","3,215","673,482","402,586","99,015,484"
87,'023760,한국캐피탈,"1,000",▲,"58","1,001","1,000","2,194,250","400,094","312,862,539"
88,'033340,좋은사람들,"2,105",▲,"175","2,120","2,105","32,082,598","398,926","94,756,214"
89,'123890,한국자산신탁,"2,860",▲,"75","2,865","2,860","1,140,020","397,568","118,067,154"
90,'273060,와이즈버즈,"1,278",▼,"-16","1,278","1,277","397,470","389,613","43,425,162"
91,'218410,RFHIC,"50,700",▲,"100","50,700","50,600","430,600","384,137","20,468,136"
92,'084990,헬릭스미스,"6,750",▼,"-260","6,790","6,750","262,671","384,003","44,554,057"
93,'086960,MDS테크,"1,401",▼,"-27","1,402","1,401","1,180,364","382,168","98,754,250"
94,'082920,비츠로셀,"20,600",▼,"-250","20,650","20,600","239,385","380,359","30,261,200"
95,'006620,동구바이오제약,"5,430",▼,"-180","5,440","5,430","121,401","372,448","27,060,311"
96,'043910,자연과환경,"592",▼,"-22","592","591","2,181,145","370,630","107,126,615"
97,'0013V0,삼진식품,"11,210",▲,"130","11,220","11,210","11,356,582","367,787","9,481,982"
98,'020000,한섬,"21,050", ,"0","21,100","21,000","110,447","366,064","18,167,301"
99,'298690,에어부산,"1,990",▲,"18","1,990","1,989","386,452","363,397","56,464,435"
100,'004140,동방,"2,625",▼,"-35","2,630","2,625","417,443","362,850","44,827,845"
101,'019180,티에이치엔,"8,430",▲,"190","8,430","8,420","618,742","354,553","16,375,022"
102,'091700,파트론,"7,650",▲,"20","7,660","7,650","578,648","353,244","44,085,199"
103,'004020,현대제철,"33,650",▼,"-150","33,650","33,600","883,920","350,395","104,585,530"
104,'014160,대영포장,"1,079",▼,"-2","1,079","1,077","288,711","349,923","103,990,211"
105,'215600,신라젠,"3,625",▼,"-140","3,630","3,625","1,552,846","347,193","131,657,867"
106,'085310,엔케이,"1,081",▼,"-24","1,083","1,081","449,138","343,599","77,978,798"
107,'002760,보락,"1,259",▼,"-23","1,259","1,258","709,602","339,396","58,724,810"
108,'017040,광명전기,"1,439",▼,"-26","1,440","1,439","410,672","336,607","41,557,355"
109,'102110,TIGER 200,"81,835",▼,"-110","81,835","81,830","4,175,643","335,276","72,481,624"
110,'008970,KBI동양철관,"1,794",▼,"-23","1,795","1,794","1,318,514","334,954","100,518,214"
111,'381180,TIGER 미국필라델피아반도체나스닥,"30,715",▼,"-720","30,715","30,710","2,189,282","333,788","121,029,933"
112,'030000,제일기획,"22,100",▲,"100","22,200","22,100","500,625","332,364","86,317,485"
113,'002350,넥센타이어,"9,110",▼,"-140","9,120","9,110","446,615","331,344","87,375,625"
114,'002780,진흥기업,"813",▲,"4","813","807","1,071,678","329,793","142,862,156"
115,'331740,아우토크립트,"18,610",▼,"-250","18,610","18,600","423,421","329,667","9,352,148"
116,'476060,온코닉테라퓨틱스,"18,370",▼,"-630","18,370","18,360","1,248,793","327,901","44,191,698"
117,'033290,로젠,"2,270",▲,"55","2,270","2,250","283,500","320,677","55,835,624"
118,'024850,HLB이노베이션,"3,110",▲,"55","3,110","3,100","631,656","319,046","146,663,361"
119,'047310,파워로직스,"5,870",▼,"-230","5,880","5,870","647,292","317,925","35,224,451"
120,'308430,셀비온,"33,350",▲,"1,250","33,450","33,350","370,842","313,085","12,143,771"
121,'229200,KODEX 코스닥150,"18,955",▼,"-390","18,960","18,955","33,590,542","309,085","349,257,822"
122,'271560,오리온,"138,700",▲,"100","139,200","138,700","170,195","307,695","25,882,443"
123,'299900,위지윅스튜디오,"514",▼,"-95","514","513","4,131,739","304,333","163,807,777"
124,'031330,에스에이엠티,"4,755",▲,"5","4,755","4,750","433,415","302,542","91,189,140"
