종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,평균가대비,대비율(%)
'446770,ACE 글로벌반도체TOP4 Plus,"-1,919","-11,159","58,155","58,165","10","+0.01%"
'012510,더존비즈온,"-1,246","-10,804","86,706","88,800","2,094","+2.41%"
'483650,달바글로벌,"-610","-10,530","172,685","173,800","1,115","+0.64%"
'105630,한세실업,"-8,126","-10,493","12,913","12,710","-203","-1.57%"
'449170,TIGER KOFR금리액티브(합성),"-915","-10,077","110,175","110,220","45","+0.04%"
'462330,KODEX 2차전지산업레버리지,"-55,096","-10,040","1,822","1,853","31","+1.70%"
'279530,KODEX 고배당주,"-5,266","-9,455","17,954","18,435","481","+2.67%"
'481050,KODEX CD1년금리플러스액티브(합성),"-89","-9,109","1,022,564","1,023,000","436","+0.04%"
'489250,KODEX 미국배당다우존스,"-7,224","-9,056","12,535","12,420","-115","-0.91%"
'195870,해성디에스,"-1,558","-9,053","58,088","58,600","512","+0.88%"
'315960,RISE 대형고배당10TR,"-1,635","-9,018","55,164","56,310","1,146","+2.07%"
'307520,TIGER 지주회사,"-4,452","-9,002","20,221","20,345","124","+0.61%"
'418660,TIGER 미국나스닥100레버리지(합성),"-2,709","-8,885","32,797","32,075","-722","-2.20%"
'0091P0,TIGER 코리아원자력,"-5,346","-8,579","16,047","16,240","193","+1.20%"
'495060,TIME 코리아밸류업액티브,"-3,883","-8,573","22,080","22,525","445","+2.01%"
'020150,롯데에너지머티리얼즈,"-2,014","-8,539","42,396","42,600","204","+0.48%"
'466920,SOL 조선TOP3플러스,"-2,331","-8,227","35,292","35,240","-52","-0.14%"
'0111J0,HANARO 증권고배당TOP3플러스,"-4,731","-7,887","16,669","17,545","876","+5.25%"
'009540,HD한국조선해양,"-234","-7,693","329,225","398,000","68,775","+20.89%"
'0026S0,1Q 미국S&P500,"-6,274","-7,676","12,235","11,970","-265","-2.16%"
'0080G0,KODEX K방산TOP10,"-6,022","-7,440","12,354","12,435","81","+0.65%"
'0155M0,ACE 미국SMR원자력TOP10,"-7,727","-7,218","9,342","8,790","-552","-5.90%"
'003570,SNT다이내믹스,"-1,490","-7,135","47,882","54,700","6,818","+14.23%"
'0043B0,TIGER 머니마켓액티브,"-681","-6,926","101,645","101,695","50","+0.04%"
'259960,크래프톤,"-278","-6,691","240,992","258,000","17,008","+7.05%"
'352820,하이브,"-165","-6,350","385,100","390,500","5,400","+1.40%"
'402970,ACE 미국배당다우존스,"-4,246","-6,264","14,753","14,580","-173","-1.17%"
'285130,SK케미칼,"-968","-6,185","63,870","63,000","-870","-1.36%"
'530111,삼성 레버리지 천연가스 선물 ETN C,"-30,595","-6,182","2,021","1,980","-41","-2.02%"
'0008S0,TIGER 미국배당다우존스타겟데일리커버드콜,"-6,028","-6,150","10,203","10,050","-153","-1.49%"
