종목코드,종목명,순매도수량(백주),순매도금액(백만),추정평균가,현재가,평균가대비,대비율(%)
'214180,헥토이노베이션,"-565","-1,417","25,089","24,600","-489","-1.94%"
'272110,케이엔제이,"-389","-1,396","35,915","31,650","-4,265","-11.87%"
'300080,플리토,"-956","-1,388","14,514","13,940","-574","-3.95%"
'265520,AP시스템,"-611","-1,385","22,671","21,650","-1,021","-4.50%"
'418470,KT밀리의서재,"-992","-1,353","13,637","14,710","1,073","+7.86%"
'212710,아이에스티이,"-1,441","-1,334","9,256","9,150","-106","-1.14%"
'078890,가온그룹,"-2,306","-1,319","5,717","5,720","3","+0.05%"
'042520,한스바이오메드,"-293","-1,260","42,955","42,800","-155","-0.36%"
'310210,보로노이,"-67","-1,234","185,054","213,500","28,446","+15.37%"
'482630,삼양엔씨켐,"-303","-1,229","40,604","40,000","-604","-1.48%"
'089010,켐트로닉스,"-357","-1,195","33,479","32,600","-879","-2.62%"
'079370,제우스,"-652","-1,176","18,023","16,840","-1,183","-6.56%"
'200710,에이디테크놀로지,"-292","-1,137","38,978","38,900","-78","-0.20%"
'399720,가온칩스,"-174","-1,129","64,738","66,100","1,362","+2.10%"
'086670,비엠티,"-841","-1,088","12,936","13,210","274","+2.11%"
'067390,아스트,"-14,237","-1,060","745","681","-64","-8.59%"
'033640,네패스,"-577","-1,048","18,145","17,660","-485","-2.67%"
'216080,제테마,"-1,047","-1,047","9,999","9,810","-189","-1.89%"
'473980,노머스,"-438","-1,031","23,531","22,600","-931","-3.95%"
'322310,오로스테크놀로지,"-393","-1,028","26,127","24,600","-1,527","-5.84%"
