종목코드,종목명,순매수수량(백주),순매수금액(백만),추정평균가,현재가,평균가대비,대비율(%)
'085910,네오티스,"+1,557","+2,045","13,136","13,540","404","+3.07%"
'003380,하림지주,"+1,268","+2,030","16,014","15,110","-904","-5.64%"
'086900,메디톡스,"+151","+2,003","132,451","131,200","-1,251","-0.94%"
'290550,디케이티,"+1,706","+1,987","11,648","10,630","-1,018","-8.74%"
'287840,인투셀,"+390","+1,981","50,774","52,600","1,826","+3.59%"
'056080,유진로봇,"+481","+1,897","39,462","37,750","-1,712","-4.33%"
'121600,나노신소재,"+257","+1,889","73,405","70,000","-3,405","-4.63%"
'086390,유니테스트,"+894","+1,877","20,980","20,300","-680","-3.24%"
'080220,제주반도체,"+391","+1,858","47,560","45,750","-1,810","-3.80%"
'230360,에코마케팅,"+1,149","+1,827","15,904","15,910","6","+0.03%"
'119850,지엔씨에너지,"+396","+1,794","45,284","38,050","-7,234","-15.97%"
'357780,솔브레인,"+33","+1,791","544,397","399,500","-144,897","-26.61%"
'159580,제로투세븐,"+4,098","+1,740","4,245","4,220","-25","-0.58%"
'236200,슈프리마,"+366","+1,719","46,899","45,250","-1,649","-3.51%"
'061970,LB세미콘,"+3,562","+1,711","4,802","4,500","-302","-6.28%"
'195940,HK이노엔,"+302","+1,665","55,127","54,000","-1,127","-2.04%"
'123410,코리아에프티,"+1,924","+1,569","8,157","8,260","103","+1.26%"
'0004V0,엔비알모션,"+840","+1,568","18,663","18,250","-413","-2.21%"
'082270,젬백스,"+357","+1,564","43,843","41,300","-2,543","-5.80%"
'0015N0,아로마티카,"+1,030","+1,545","14,996","13,710","-1,286","-8.57%"
'036620,감성코퍼레이션,"+2,101","+1,532","7,293","6,770","-523","-7.17%"
'053800,안랩,"+232","+1,499","64,713","65,600","887","+1.37%"
